yil;ay;otorite_adi;istasyon_adi;tekil_yolcu_sayisi;yolcu_sayisi
2025;3;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;Kartal;25430;61760
2025;3;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;Kabataş Ahşap İskele;2127;2839
2025;3;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Üsküdar;32278;69908
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BURGAZADA;12018;23633
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Ortaköy;8069;12348
2025;3;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Topçular;4983;10469
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KINALIADA;9366;17788
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KADIKOY YENI;158681;284883
2025;3;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;;14;20
2025;3;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;Büyükada;21123;51194
2025;3;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Burgazada;7393;13301
2025;3;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Heybeliada;10009;21542
2025;3;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Büyükada;24709;48188
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Sarıyer;12609;24819
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Çubuklu;777;1091
2025;3;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;YENİ KABATAŞ;46358;109383
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Anadolu Hisarı;7555;17124
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Poyraz;984;1126
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Beşiktaş;22376;33345
2025;3;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Eskihisar;5417;11162
2025;3;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Sirkeci-Harem;11768;20882
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;İstinye;4668;8712
2025;3;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Karaköy;55704;127149
2025;3;BEYDEN DENIZ ULASIM HIZMETLERI TURIZM VE TIC. LTD. STI.;BEYDEN - Beykoz;7659;21408
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Bostancı;18354;33127
2025;3;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Kadıköy Çayırbaşı;154732;251535
2025;3;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;Heybelıada;6813;16494
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Eyüp;20938;29112
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kuzguncuk;682;1678
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Sütlüce;4649;8086
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kanlıca;2815;4616
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Yenikapı;1;1
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kadıköy (Eski);18420;30099
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Beylerbeyi;2090;4991
2025;3;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Harem;11824;21061
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Ayvansaray;1278;1888
2025;3;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Eminönü;110807;182156
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Moda;2005;2985
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;YENİ KABATAŞ;63739;123693
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Çengelköy;10453;35989
2025;3;BEYDEN DENIZ ULASIM HIZMETLERI TURIZM VE TIC. LTD. STI.;BEYDEN - Yeniköy;7815;23301
2025;3;ISTANBUL SEHIR HATLARI TUR. SAN. VE TIC. AS.;Çubuklu Arabalı;9955;25881
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;EMINONU KADIKOY;119169;189439
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;EMINONU BOGAZ;53945;101361
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;USKUDAR;66173;113915
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Fener;9108;14696
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kandilli;547;1473
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BUYUKADA;55969;103571
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Aşiyan;21803;52985
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Beykoz;6583;13606
2025;3;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;;27;27
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Büyükdere;2037;3097
2025;3;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Kadıköy;2;2
2025;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Hasköy;8393;15601
2025;3;ISTANBUL SEHIR HATLARI TUR. SAN. VE TIC. AS.;İstinye Cubuklu;11165;29540
2025;4;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Eminönü;138949;215619
2025;4;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Kınalıada;6979;15473
2025;4;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Moda;1922;2755
2025;4;BEYDEN DENIZ ULASIM HIZMETLERI TURIZM VE TIC. LTD. STI.;BEYDEN - Yeniköy;8975;23916
2025;4;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;;25;62
2025;4;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Çengelköy;13216;38009
2025;4;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Rumeli Kavağı;3069;4598
2025;4;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Ayvansaray;1533;2155
2025;4;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Beykoz;7870;15022
2025;4;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Aşiyan;28409;56198
2025;4;BEYDEN DENIZ ULASIM HIZMETLERI TURIZM VE TIC. LTD. STI.;BEYDEN - Beykoz;8870;22380
2025;4;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BUYUKADA;74608;128166
2025;4;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Kadıköy Çayırbaşı;172009;273553
2025;4;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Sütlüce;5065;8340
2025;4;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Üsküdar;227211;359164
